题号,题干,A,B,C,D,E,答案,难度,题型,类别
155,"155.以下关于随机运算函数库的描述，正确的是  
（）",random 产生的随机数是完全随机的,"Python 的random库是内置库，随 Python—
起发布","random(a,b) 产生一个 (a,b)之间的随机小数","random.seed() 函数初始化随机数种子，是
为了可以重复再现随机数序列",,D,简单,单选题,Python基础
156,156.turtle 库的控制颜色的函数是（）,goto(),pendown(),right(),pencolor(),,D,简单,单选题,Python基础
157,157.Python 数据分析方向的第三方库是（）,mayavi,time,tensorflow,numpy,,D,简单,单选题,Python基础
158,158.Python Web 开发方向的第三方库是,PyQt5,Tkinter,Pygame,Django,,D,简单,单选题,Python基础
159,"159.下面语句的执行结果，不可能的选项是（）  
import random  
print(random.uniform(1,3))",2.76407693368872,3.99300236582067,2.5670577649215,1.80711737432147,,B,简单,单选题,Python基础
160,"160.以下关于随机运算函数库的描述，错误的是
（）","用random(a,b) 产生一个 [0,1]之间的随机
小数","random.choice([1,2,3]) 函数返回的值有可
能是3","Python 的random库采用梅森旋转算法生成
伪随机数序列","random.sample(pop,k) 返回从pop类型中随
机选取的 k个元素构成的列表",,A,简单,单选题,Python基础
161,"161.以下不属于 Python的内置函数的选项是
（）",abs(),sum(),input(),get(),,D,简单,单选题,Python基础
162,"162.以下选项不属于 Python的pip工具的功能
是（）",打包python源代码,安装第三方 python库,卸载已经安装了的第三方库,对第三方库进行基本的维护,,A,简单,单选题,Python基础
163,"163.关于beautifulsoup4 的描述，正确的选项
是（）",用于处理三维可视化,用于绘制图形,这个库能遍历处理 HTML网页上的语法元素,用于解析和处理 HTML和XML,,D,简单,单选题,Python基础
164,164.关于pandas的描述，不正确的选项是（）,不能用于金融数据分析,是用于数据分析的第三方库,是基于numpy扩展而来的第三方库,能够高效的进行时间序列分析,,A,简单,单选题,Python基础
165,"165.pyinstaller 工具能够对 Python源文件所
做的操作不包括的选项是（）",把数据和源代码一起打包,对源文件打包，并删除生成的临时文件,生成带有动态链接库的可执行文件,生成独立的可执行文件,,A,简单,单选题,Python基础
166,"166.以下关于 Python二维数据的描述中 ,错误的
是（）","CSV文件的每一行是一维数据 ,可以用列
表、元组表示","从CSV文件获得数据内容后 ,可以用
replace( 来去掉每行最后的换行符","若一个列表变量里的元素都是字符串类型 ,
则可以用 join()合成字符串","列表中保存的二 维数据,可以通过循环用
writelines() 写入CSV文件",,D,简单,单选题,Python基础
167,"167.以下关于文件的描述中 ,错误的是（）","文件是存储在辅助存储器上的一组数据序
列,可以包含任何数据内容","可以使用 open()打开文件 ,用close()关闭
文件",使用read()可以从文件中读入全部文本,"使用readlines() 可以从文件中读入一行文
本",,D,简单,单选题,Python基础
168,"168.以下关于文件的描述中 ,正确的是（）","使用open()打开文件时 ,必须要用 r或w指
定打开方式 ,不能省略","采用readlines() 可以读入文件中的全部文
本,返回一个列表","文件打开后 ,可以用write()控制对文件内
容的读写位置","如果没有采用 close()关闭文件 ,Python程
序退出时文件将不会自动关闭",,B,简单,单选题,Python基础
169,169.以下不属于 Python文件操作方法的是（）,read(),write(),join(),readline(),,C,简单,单选题,Python基础
170,"170.以下关于数据组织的描述中 ,错误的是（）","—维数据采用线性方式组织 ,可以用Python
集合或列表类型表示",列表类型仅用于表示一维和二维数据,"二维数据采用表格方式组织 ,可以用Python
列表类型表示","更高维数据组织由键值对类型的数据构成 ,
可以用Python字典类型表示",,A,简单,单选题,Python基础
171,"171.文件exam.txt 与以下代码在同一目录下 ,其
内容是一段文本 :bigBen, 以下代码的输出结果是
（） 
f=open(""exam.txt"")  
print(f)  
f.close()",bigBen,exam.txt,<_io.TextlOWrapper...>,exam,,C,简单,单选题,Python基础
172,"172.文件family.txt 在当前代码所在目录内 ,其
内容是一段文本 :We are family, 以下代码的输
出结果是（）  
txt=open(""family.txt"",""r"")  
print(txt)  
txt.close()",txt,family.txt,非其他答案,We are family,,C,简单,单选题,Python基础
173,"173.以下代码的输出结果是（）  
fo=open(""book.txt"", ""w"")  
ls=['c语言','Java', 'C#', 'Python']  
fo.writelines(ls)  
fo.close()",'c语言"Java"C#"Python',c语言JavaC#Python,"[c语言,Java,C#,Python]","['C语言','Java','C#','Python']",,B,简单,单选题,Python基础
174,"174.在读写文件之前 ,需要打开文件使用的函数
是（）",read,fopen,open,CFile,,C,简单,单选题,Python基础
175,"175.以下关于 Python文件打开模式的描述中 ,错
误的是（）",只读模式 r,覆盖写模式 w,追加写模式 a,创建写模式 n,,D,简单,单选题,Python基础
176,"176.以下关于 CSV文件的描述中 ,正确的是（）",CSV文件只能采用 Unicode编码表示字符,"CSV文件的每一行是一维数据 ,可以使用
Python的元组类型表示","CSV格式是一种通用的文件格式 ,主要用于
不同程序之间的数据交换",CSV文件是一个一维数据,,C,简单,单选题,Python基础
177,"177.给定列表 ls =[1,2,3,""1"",""2"",""3""], 其元
素包含两种数据类型 ,列表ls的数据组织维度是
()。",二维数据,—维数据,多维数据,高维数据,,B,简单,单选题,Python基础
178,"178.在Python语言中,使用open()打开一个
Windows操作系统 D盘下的文件 ,路径名错误的
是（）",D: \PythonTestla.txt,D:\\PythonTest \\a.txt,D:/PythonTest/a.txt,D://PythonTest//a.txt,,A,简单,单选题,Python基础
180,180.在Python语言中，写文件的操作是（）,write,writeall,seek,writetext,,A,简单,单选题,Python基础
181,"181.以下对Python文件处理的描述中，错误的
是（）","Python 通过解释器内置的 open()函数打开
一个文件","Python 能够以文本和二进制两种方式处理
文件","当文件以文本方式打开时，读写按照字节流
方式","文件使用结束后可以用 close()方法关闭，
释放文件的使用授权",,C,简单,单选题,Python基础
182,"182.以下关于 Python二维数据的描述中，错误
的是（）",—种通用的二维数据存储形式是 CSV格式,"二维数据由多条 —维数据构成，可以看作一
维数据的组合形式","表格数据属于二维数据，由整数索引的数据
构成","CSV格式每行表示一个一维数据，用英文半
角逗号分隔",,C,简单,单选题,Python基础
183,"183.在Python语言中，读入 CSV文件保存的二
维数据，按特定分隔符抽取信息，最可能用到的
函数是（）",format(),join(),replace( ),split(),,D,简单,单选题,Python基础
184,"184.以下代码执行后， book.txt 文件的内容是
（） 
fo = open(""book.txt"" ,""w"")  
Is =['book','23',201009,'20']  
fo.write(str(ls))  
fo.close()","book,23,201009,20","[ 'book','23','201009','20']","[book,23,20 1009,20]",book2320100920,,B,简单,单选题,Python基础
185,185.以下关于 CSV文件的描述中，错误的是（）,CSV文件可以保存一维数据或二维数据,"CSV文件的每一行是一维数据，可以使用
Python的列表类型表示","CSv格式是—种通用的文件格式，主要用于
不同程序之间的数据交换",CSV文件只能采用 Unicode编码表示字符,,D,简单,单选题,Python基础
186,186.以下关于文件的描述中，错误的是（）,使用read()可以从文件中读入全部文本,"可以使用 open()打开文件，用 close()关闭
文件","文件是存储在磁盘上的数据，也是序列的集
合","使用readline() 可以从文件中读入一行文
本",,C,简单,单选题,Python基础
187,187.以下关于文件的描述中，错误的是（）,"文件打开后，可以用 seek()控制对文件内
容的读写位置","采用readlines() 可以读入文件中的全部文
本，返回一个列表","使用open()打开文件时，必须要用 r或w
指定打开方式，不能省略","如果没有采用 close()关闭文件， Python程
序退出时文件将被自动关闭",,C,简单,单选题,Python基础
188,188.以下不属于 Python文件操作方法的是（）,split,write,writelines,readline,,A,简单,单选题,Python基础
189,189.以下关于数据组织的描述中，错误的是（）,"更高维数据组织由键值对类型的数据构成，
可以用Python字典类型表示","—维数据采用线性方式组织，可以用
Python列表类型表示","二维数据采用表格方式组织，可以用
Python列表类型表示",字典类型仅用于表示一维和二维数据,,D,简单,单选题,Python基础
190,190.以下不是 Python文件读写方法的是（）,read,readline,writeline,write,,C,简单,单选题,Python基础
191,"191.关于Python文件打开模式，表示错误的是
（）",ab,rt,nb,wt,,C,简单,单选题,Python基础
192,192.表格类型数据的组织维度最可能是（）,二维数据,—维数据,多维数据,高维数据,,A,简单,单选题,Python基础
193,"193.二维列表
ls=[[9,8],[7,6],[5,4],[3,2],[1,0]] ，能够获
得数字4的选项是（）","Is[-2,0]","Is[3,2]","ls[2,2]","Is[-3,-1]",,D,简单,单选题,Python基础
194,"194.在进行CSV文件读写时，最不可能使用的字
符串处理方法是（）",join(),index(),strip(),split(),,B,简单,单选题,Python基础
195,"195.f=open() 可以打开一个文件，关于 f的描述
错误的是（）","f是一种特殊的 Python变量，执行
print(f) 时会报错",f是文件对象引用，在程序中表示文件,f.read() 可以一次性读入文件全部信息,执行m=f后，m和f同时表示所打开文件,,A,简单,单选题,Python基础
196,196.以下不是 Python文件操作方法的是（）,load,seek,read,write,,A,简单,单选题,Python基础
197,197.文件的追加写入模式是（）,x,r,a,+,,C,简单,单选题,Python基础
198,"198.表达键值对的字典类型最可能属于的数据组
织维度是（）",一维数据,高维数据,二维数据,多维数据,,B,简单,单选题,Python基础
199,199.以下对CSV格式描述正确的是（）,CSV文件以英文逗号分割元素,CSV文件以英文空格分割元素,CSV文件以英文分号分割元素,CSV文件以英文特殊符号分割元素,,A,简单,单选题,Python基础
200,200.以下关于文件的描述，错误的是（）,"打开文件既要读也要写，应该使用的打开模
式参数是 'rw+'","fo.seek 函数是设置当前文件操作指针的位
置","open() 函数的打开模式 'b'表示以二进制数
据处理文件","open函数的打开模式 'a'表示可以对文件进
行追加操作",,A,简单,单选题,Python基础
201,"201.以下方法不是 python文件操作的选项是
（）",write(),open(),copy(),seek(),,C,简单,单选题,Python基础
202,"202.关于数据组织的维度，以下选项中描述错误
的是（）",字典和JSON都能表达高维数据,CSV文件可以用来存储二维数据,字典类型是一维数据,"列表可以表示一维数据，也可以表示二维数
据",,C,简单,单选题,Python基础
203,203.以下关于文件的描述，错误的是（）,"以文本方式读打开一个文件，读入后能对文
件进行写操作","以文本方式打开一个空文件，追加方式写入
文件，参数用 'a+'","以文本方式写打开一个文件，不能对文件进
行读操作","打开文件的参数 '+'，表示在原打开模式基
础上，可以对文件进行读写",,A,简单,单选题,Python基础
204,"204.以下语句的执行结果是（）  
with open('",出现读写异常,读文件的函数没有从文件里读到字符串,"写到文件 a.txt里一个'hello'字符串，显
示在屏幕上一个 'hello'字符串",写到文件 a.txt里一个'hello'字符串,,D,简单,单选题,Python基础
205,205.以下关于数据维度的描述，不正确的是（）,二维数据处理等同于二维列表的操作,"要处理二维数据的每个元素，需要用循环结
构处理","二维数据用 CSV文件格式存储，得用二重循
环嵌套实现","CSV文件里是用英文半角逗号来分隔数据元
素",,C,简单,单选题,Python基础
206,206.属于Python读取文件一行操作的是（ ）,readtext,readline,readall,read,,B,简单,单选题,Python基础
208,"208.以下代码的输出结果是（）
ls=[""2020"",""1903"",""Python""]  
ls.append(2050)  
ls.append([2020,""2020""])  
print(ls)","['2020','1903','Python','2020',[2050,'
2020']]","[ '2020,'1903','Python',2020]","[ '2020','1903','Python',2050,[2020,'2
020']]","['2020','1903','Python',2050,[2020]]",,C,简单,单选题,Python基础
209,"209.以下代码的输出结果是（）  
d={ ""大海"":""蓝色"",""天空"":""灰色"",""大地"":""黑
色""} print(d["" 大地""],d.get("" 天空"",""黄色""))",黑色黑色,黑色灰色,黑色黄色,黑色蓝色,,B,简单,单选题,Python基础
210,"210.以下选项 ,正确的是（）","序列类型是一维元素向量 ,元素之间存在先
后关系,通过序号访问","序列类型可以分为 3类:字符串、字典和列
表",表示单一数据的类型被称为组合数据类型,"Python 的str、dict、tuple和list类型
都属于序列类型",,A,简单,单选题,Python基础
211,"211.以下代码的输出结果是（）  
d = {} 
for i in range(26):  
 d[chr(i+ord(""A""))] = chr((i+13)%26 + 
ord(""A""))  
for c in 'Python':  
  print(d.get(c,c),end="""")",Plguba,Cabugl,Python,Cython,,D,简单,单选题,Python基础
212,"212.在Python语言中,不属于组合数据类型的是
（）",浮点数类型,字典类型,列表类型,元组类型,,A,简单,单选题,Python基础
213,"213.以下代码的输出结果是（）  
lis=list (range(4))  
print(lis)","[0,1,2,3,4]","[0,1,2,3]","0,1,2,3,","0,1,2,3,4",,B,简单,单选题,Python基础
214,"214.以下关于列表变量 ls操作的描述中 ,错误的
是()。","ls.copy(): 生成一个新列表 ,复制ls的所有
元素",ls.remove(x): 删除ls中所有的 x元素,ls.append(x): 在ls最后增加一个元素,ls.reverse(): 反转列表 ls中所有元素,,B,简单,单选题,Python基础
215,"215.以下关于 Python字典变量的定义中 ,正确的
是（）","d={[1,2]:1,[ 3,4]:3}","d={1:as,2:sf}","d={(1,2):1,(3,4):3}","d={ 'python':1,[tea,cat]:2}",,C,简单,单选题,Python基础
216,"216.列表listV=list(range(10)), 以下能够输
出列表listV中最小元素的是（）",print(min(listV )),print(listV.max()),print(min(listV())),print(listV.reverse(i)[0]),,A,简单,单选题,Python基础
217,"217.以下代码的输出结果是（）  
ls = [] 
for m in "" 想念"": 
 for n in "" 家人"": 
  s.append(m+n)  
print(ls)",想念家人,想想念念家家人人,想家想人念家念人,"['想家','想人','念家','念人']",,D,简单,单选题,Python基础
218,"218.以下关于 Python列表的描述中 ,正确的是
()。","列表的长度和内容都可以改变 ,但元素类型
必须相同","不可以对列表进行成员运算操作、长度计算
和分片",列表的索引是从 1开始的,"可以使用比较操作符 (如>或<等)对列表进行
比较",,D,简单,单选题,Python基础
219,"219.以下关于 Python字典的描述中 ,错误的是
（）","在Python中,用字典来实现映射 ,通过整数
索引来查找其中的元素","在定义字典对象时 ,键和值用冒号连接",字典中的键值对之间没有顺序并且不能重复,"字典中引用与特定键对应的值 ,用字典名称
和中括号中包含键名的格式",,A,简单,单选题,Python基础
220,"220.以下用来处理 Python字典的方法中 ,正确的
是()。",interleave,get,insert,replace,,B,简单,单选题,Python基础
221,"221.以下代码的输出结果是（）  
ls =['book',666,[2018,'python',314],20]  
print(ls[2][1][ -2])",n,python,o,结果错误,,C,简单,单选题,Python基础
222,"222.以下代码的输出结果是（）  
d = {'food':{'cake':1,'egg':5}}  
print(d.get('egg',""no this food""))",egg,1,food,no this food,,D,简单,单选题,Python基础
223,"223.以下代码的输出结果是（）  
a = [[1,2,3],[4,5,6],[7,8,9]]  
s = 0 
for c in a:  
 for j in range(3):  
   s + = c[j]  
print(s)","[1,2,3,4,5,6,7,8,9]",45,24,0,,B,简单,单选题,Python基础
224,"224.以下关于 Python列表的描述中，错误的是
（）","列表的长度和内容都可以改变，但元素类型
必须相同","可以对列表进行成员关系操作、长度计算和
分片","列表可以同时使用正向递增序号和反向递减
序号进行索引","可以使用比较操作符 (如>或<等)对列表进行
比较",,A,简单,单选题,Python基础
225,"225.以下用来处理 Python列表的方法中，错误
的是（）",interleave,append,insert,pop,,A,简单,单选题,Python基础
227,"227.以下代码的输出结果是（）  
ls = [""car"",""truck""]  
def func(A):  
 ls.append(A)  
 return 
func(""bus"")  
print(ls)",[ "bus"],"[""car"" , ""truck""]","[ ""car"" ,""tr uck"" , ""bus""]",[],,C,简单,单选题,Python基础
228,"228.以下关于列表变量 ls操作的描述中，错误
的是（）",ls.reverse(): 反转列表 ls中所有元素,ls.append(x): 在ls最后增加一个元素,"ls.copy(): 生成一个新列表，复制 ls的所
有元素",ls.clear(): 删除ls的最后一个元素,,D,简单,单选题,Python基础
229,"229.以下关于 Python字典变量的定义中，错误
的是（）","d ={1:[1,2],3:[3,4]}","d ={[1,2]:1,[3,4]:3}","d = {(1,2):1, (3,4):3}","d={'张三':1, '李四':2}",,B,简单,单选题,Python基础
230,"230.列表listV= list(range(10)) ，以下能够
输出列表 listV中最大元素的是 ()。",print(listV.reverse(i)[0]),print(listV.max()),print(max(listV())),print(max(listV)),,D,简单,单选题,Python基础
231,"231.以下代码的输出结果是 ()。 
ls = [] 
for m in 'AB':  
  for n in 'CD':    ls.append(m+n)  
print(ls)",ABCD,AABBCCDD,ACADBCBD,"['AC', 'AD',  'BC','BD']",,D,简单,单选题,Python基础
232,232.以下描述中，错误的是（）,"Python 语言通过索引来访问列表中元素，
索引可以是负 整数","列表用方括号来定义，继承了序列类型的所
有属性和方法","Python 列表是各种类型数据的集合，列表
中的元素不能够被修改","Python 语言的列表类型能够包含其它的组
合数据类型",,C,简单,单选题,Python基础
233,233.以下描述中，错误的是（）,"如果s是一个序列， s =[1, 
""kate"",True],s[3] 返回True","如果x不是s的元素， x not in s 返回
True",如果x是s的元素， x in s返回True,"如果s是一个序列， s =[1,""kate"",True], 
s[-1]返回True",,A,简单,单选题,Python基础
234,"234.以下代码的输出结果是（）  
s = 'Pame'  
for i in range(len(s)):  
 print(s[ -i],end="""")",ameP,emaP,Pema,Pame,,C,简单,单选题,Python基础
235,"235.以下代码的输出结果是（）  
for s in ""HelloWorld"":  
 if s==""W"":  
  continue  
  print(s, end="""")",Helloorld,Hello,World,HelloWorld,,A,简单,单选题,Python基础
236,"236.下面的d是一个字典变量，能够输出数字 5
的语句是（）  
d = { 'food':{""cake"" : 
1,'egg':5 },'cake':2,'egg':3}",print(d['egg']),print(d[ 'food']['egg']),print(d['food'][ -1]),print(d['c ake'][1]),,B,简单,单选题,Python基础
237,"237.以下代码的输出结果是（）  
s =[4,2,9,1]  
s.insert(2,3)  
print(s)","[4,2,9,2,1]","[4,3,2,9,1]","[4,2,3,9,1]","[4,2,9,1,2,3]",,C,简单,单选题,Python基础
238,"238.以下程序的输出结果是 ()  
ls=['绿茶','乌龙茶','红茶','白茶','黑茶'] 
 
x='乌龙茶' 
print(ls.index(x,0))",1,0,-3,-4,,A,简单,单选题,Python基础
239,239.关于字典的描述，错误的是（）,字典的元素以键为索引进行访问,字典的一个键可以对应多个值,字典长度是可变的,字典是键值对的结合，键值对之间没有顺序,,B,简单,单选题,Python基础
240,240.以下不能用于生成空字典的选项是（）,dict(()),dict(),{},{[]},,D,简单,单选题,Python基础
241,"241.对于字典 d，以下选项对 d.values() 的描述
正确的是（）","返回一个集合类型，其中包括字典 d的所有
值","返回一个列表类型，其中包括字典 d的所有
值","返回一个元组类型，其中包括字典 d的所有
值","返回一个 dict_values 类型，其中包括字典
d的所有值",,D,简单,单选题,Python基础
242,"242.以下程序的输出结果是（）  
ls=[1,2,3]  
lt=[4,5,6]  
print(Is+lt)","[5,7,9]","[1,2,3,[4,5,6]]","[4,5,6]","[1,2,3,4,5,6]",,D,简单,单选题,Python基础
243,"243.以下程序的输出结果是（）  
a=[3,2,1]  
for i in a[:: -1]: 
  print(i, end="","")","1,2,3",3 2 1,1 2 3,"3,2,1",,A,简单,单选题,Python基础
244,"244.以下程序的输出结果是（）  
a=[3,2,1]  
b=a[:] 
print(b)","[3,2,1]",[],"[1,2,3]",0xA1F8,,A,简单,单选题,Python基础
245,"245.以下程序的输出结果是（）  
x=dict()  
print(type(x))",<class'set'>,<class'list'>,<class'dict'>,<class'tuple'>,,C,简单,单选题,Python基础
246,"246.以下程序的输出结果是（）  
lt=['绿茶','乌龙茶','红茶','白茶','黑茶'] 
ls=lt 
ls.clear()  
print(lt)",变量未定义的错误,[],"['绿茶','乌龙茶','红茶','白茶','黑茶']","'绿茶','乌龙茶','红茶','白茶','黑茶'",,B,简单,单选题,Python基础
247,"247.表达式max({2:10,8:4,5:9}) 的结果是（）",9,10,5,8,,D,简单,单选题,Python基础
248,"248.执行以下程序后，要输出 ab44cd46 结果,该
执行的选项是（）  
ls = [ 'ab','44','cd','46']  
ls.reverse()",print(".join(Is[ -1:])),print(".join(ls)),print(".join(ls[1:])),print(".join(ls[ -1::-1])),,D,简单,单选题,Python基础
249,"249.以下程序的输出结果是 () 
ss = [2,3,6,9,7,1]  
for i in ss:  
 print(max(ss),end = "","")  
 ss.remove(max(ss))","9,7,6","9,7,6,","9,7,6,3,2,1 ，","9,7,6,3,2,1",,B,简单,单选题,Python基础
250,"250.以下语句的执行结果是（）  
dd={ 'a':90,'b':87,'c':93 }  
print(max(dd),min(dd))",c a,93 90,c b,93 87,,A,简单,单选题,Python基础
251,"251.以下语句的执行结果是（）  
dd={'chinese':200,'pe':187,'Gana':930}  
print(dd.keys())",200187930,'chinese':'pe':'Gana',"dict_keys(['chinese','pe','Gana'])","['chinese','pe','Gana']",,C,简单,单选题,Python基础
252,"252.以下程序的输出结果不可能的选项是（）  
import random  
ls = ['a','b','c','d']  
print(random.sample(ls,2))","[ 'd','a']","[ 'd','c']","['a','d','c']",['b' 'd'],,C,简单,单选题,Python基础
253,"253.表达式min([3,5,1,7,9]) 的结果是（）",1,9,3,7,,A,简单,单选题,Python基础
254,"254.以下程序的输出结果是（）  
ss=['e','h','b','s','l','p']  
for i in range(len(ss)):  
 print(max(ss),end=',')  
 ss.remove(max(ss))","s,p,l,h,e,b,","s,p,l,h,e,b","s,p,l","s,p,l,",,A,简单,单选题,Python基础
255,"255.以下程序的执行结果是（）  
x=[90,87,93]  
y=(""Aele"",""Bob"",""lala"")  
z={} 
for i in range(len(x)):  
  z[x[i]]=y[i]  
print(z)","{'Aele':90,'Bo b':87,'lala':93}","{90:'Aele',87:'Bob','93':'lala'}","{'Aele':'90','Bob':'87,'lala':'93'}","{'Aele':'90','Bob':'87','lala':'93}",,B,简单,单选题,Python基础
257,"257.以下语句的执行结果是（）  
ls=[120,'120',int('120'),12*10]  
print(ls.index(120),ls.count(120))",0 3,0 2,2 4,1 3,,A,简单,单选题,Python基础
258,258.不能返回列表数据类型的选项是 ()。,range(),s.split(),dict.items(),s.lcut(),,C,简单,单选题,Python基础
